Series,EpisodeNumber,EpisodeTitle,AirDate,TaskNumber,Description,IsLive,IsTeam,IsPrize,Contestant1,Contestant2,Contestant3,Contestant4,Contestant5
CoC1,1,Wiley giraffe blower,13 December 2017,1,The thing that genuinely causes them the most embarrassment.,FALSE,FALSE,TRUE,2,5,4,1,3
CoC1,1,Wiley giraffe blower,13 December 2017,2,Either throw an exercise ball into the bath or put all the coconuts in the shopping trolley. You must throw the exercise ball while under a roof and you may not move the bath. You must not touch any of the coconuts with your hands and you may not move the shopping trolley.,FALSE,FALSE,FALSE,2,1,3,5,4
CoC1,1,Wiley giraffe blower,13 December 2017,3,Blow something substantial off this table.,FALSE,FALSE,FALSE,2,4,4,1,5
CoC1,1,Wiley giraffe blower,13 December 2017,4,Perform a miracle.,FALSE,FALSE,FALSE,4,5,5,4,3
CoC1,1,Wiley giraffe blower,13 December 2017,5,"Write down a word beginning with T every time Alex blows his whistle. The person with the second longest word takes a step down. Whoever writes down the longest word misses a turn. If you write down one of Alex's special words, you advance an extra step.",TRUE,FALSE,FALSE,1,4,4,5,4
CoC1,2,I've sinned again,20 December 2017,1,Best thing.,FALSE,FALSE,TRUE,3,3,1,4,5
CoC1,2,I've sinned again,20 December 2017,2,What's in the case?,FALSE,FALSE,FALSE,2,4,1,5,3
CoC1,2,I've sinned again,20 December 2017,3,Make a mask that tastes delicious and looks great. Your mask but be entirely edible and entirely wearable. You must then wear your mask so Alex can taste it.,FALSE,FALSE,FALSE,5,4,3,2,2
CoC1,2,I've sinned again,20 December 2017,4,Make the biggest mess and completely clear it up.,FALSE,FALSE,FALSE,1,3,5,4,4
CoC1,2,I've sinned again,20 December 2017,5,Record the highest total of steps on your pedometer. You may not touch your blindfold.,TRUE,FALSE,FALSE,2,4,5,1,3
CoC2,1,The Alpine Darling,23 June 2022,1,"The thing that makes everyone go ""Wow, that really is the greatest thing"".",FALSE,FALSE,TRUE,5,2,3,1,4
CoC2,1,The Alpine Darling,23 June 2022,2,Feed yourself a grape in the most elaborate way.,FALSE,FALSE,FALSE,2,4,3,2,5
CoC2,1,The Alpine Darling,23 June 2022,3,"Cut holes in and create a scene on this board so that when you and Alex stick parts of your body through the holes, it looks wonderful.",FALSE,FALSE,FALSE,3,2,5,4,1
CoC2,1,The Alpine Darling,23 June 2022,4,Get this duck into that pond. The duck must be launched from behind this rope and you must stay behind this rope during its journey. You may not move the rope or the pond.,FALSE,FALSE,FALSE,1,4,3,5,2
CoC2,1,The Alpine Darling,23 June 2022,5,"Pack either five bricks or five balloons in your bag. One at a time, you must then walk across the stage and place your bag on the circle near the Taskmaster, who will guess whether you were packing bricks or balloons. if he guesses correctly, you are eliminated. If you deceive him, you qualify for another round.",TRUE,FALSE,FALSE,0,0,0,0,5
CoC3,1,Spider in my pocket,14 January 2024,1,Best thing that you would wish for if you had one wish from a genie.,FALSE,FALSE,TRUE,3,4,5,1,2
CoC3,1,Spider in my pocket,14 January 2024,2,"Be the best waiter. You must serve Alex all his food, drink and cutlery as it is currently set. If you drop or spill any items, you must clap for a full minute or else you will be disqualified. No running.",FALSE,FALSE,FALSE,4,DQ,DQ,3,5
CoC3,1,Spider in my pocket,14 January 2024,3,Give yourself a disadvantage for the next task.,FALSE,FALSE,FALSE,3,5,5,3,3
CoC3,1,Spider in my pocket,14 January 2024,4,Do something really stupid. You must not hurt yourself or anyone else.,FALSE,FALSE,FALSE,4,1,5,2,3
CoC3,1,Spider in my pocket,14 January 2024,5,"Don't say the Taskmaster's favourite thing. Alex will say a category. One at a time, you must shout a thing that falls into that category within two seconds of the previous person. If you pause, repeat, make a mistake or say the Taskmaster's favourite thing, you are eliminated.",TRUE,FALSE,FALSE,3,1,2,4,5
CoC4,1,Put that on my gravestone,22 December 2025,1,Biggest betrayal.,FALSE,FALSE,TRUE,2,3,5,4,1
CoC4,1,Put that on my gravestone,22 December 2025,2,"Write, memorise and perform the most powerful poem about being a champion. You must perform the entirety of your poem sat on the special chair.",FALSE,FALSE,FALSE,2,5,3,4,2
CoC4,1,Put that on my gravestone,22 December 2025,3,"Win the two-metre race. You must start the race after the starter's bang and behind the starting line. If any part of you moves beyond the starting line or you break the tape before the starter's bang, you are disqualified. Finally, every time the bike wheel stops spinning, your final time will be doubled and throughout the task, you must big yourself up.",FALSE,FALSE,FALSE,2,3,5,4,1
CoC4,1,Put that on my gravestone,22 December 2025,4,Be brilliant for a minute.,FALSE,FALSE,FALSE,3,2,1,4,5
CoC4,1,Put that on my gravestone,22 December 2025,5,"Using only tape, turn yourself into a famous person from the previous millennium who you'd like to see on Taskmaster.",TRUE,FALSE,FALSE,2,3,5,4,1
